year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
1977,,nam june paik,1932,seoul,korea,new york,new york,,,,,,,,,
1981,,nam june paik,1932,seoul,korea,new york,new york,,,,,,,,,
1983,,nam june paik,1932,seoul,korea,new york,new york,,,,,,,,,
1973,,Jules Olitski,1922,shchors,ukraine,New York,New York,,,,,,,,,
1977,,james hill,1945,sherman,texas,Houston,texas,,,,,,,,,
2006,,Marilyn Minter,1948,shreveport,louisiana,new york,new york,,,,"Stepping Up, 2005. Enamel on metal, 96 x 60 in. (243.8 x 152.4 cm). Private collection; courtesy Salon 94, New York",,,,,
2010,,Martin Kersels,1960,Sierra Madre,California;,Los Angeles,California,,,,,,,,,
1993,,christine chang,1963,soeoul, korea,new york,new york,,,,,,,,,
2014,,Michel Auder,1945,Soissons,France,Brooklyn,NY,,,,,,,,,
1979,,joyce kozloff,1942,somerville,new jersey,new york,new york,,,,,,,,,
1979,,christopher wilmarth,1943,sonoma,california,new york ,new york,,,,,,,,,
2000,,Ayanna U'Dongo,1952,South Bend,Ind.,Oakland,Calif.,,,,,,,,,
2000,,Linda Besemer,1957,South Bend,Ind.,Los Angeles,california,,,,,,,,,
1973,,Ray Parker,1922,south dakota,south dakota,New York,New York,,,,,,,,,
1973,,Tony Smith,1912,south orange,new jersey,East Orange,New Jersey,,,,,,,,,
1979,,donna dennis,1942,springfield,ohio,new york,new york,,,,,,,,,
1981,,kit fitzgerald,1953,springfield,massachusets,new york,new york,,,,,,,,,
2000,,Joseph Grigely,1956,Springfield,Mass.,Jersey City and,new jersey,Ann Arbor,Mich.,,,,,,,
2014,,David Hammons,1943,Springfield,IL;,New York,NY,,,,,,,,,
1983,,oliver jackson,1935,st louis,missouri,oakland,california,,,,,,,,,
1981,,gregory amenoff,1948,st. charles,illinois,new york,new york,,,,,,,,,
1981,,richard francisco,1942,st. helena,california,new york,new york,,,,,,,,,
2006,,Andrew Lampert,1976,st. louis,missouri,brooklyn,new york,,,,"Still from Varieties of Slow, 2005. Triple-projection film and performance, dimensions variable. Courtesy Public Opinion Laboratory, New York",,,,,
2012,,Charles Atlas,1949,st. louis,missouri,new york,ny,,,,,,,,,
2014,,Chris Larson,1966,St. Paul,MN,St. Paul,MN,,,,,,,,,
1983,,phillip maberry,1951,stamford,texas,garrison,new york,,,,,,,,,
2000,,M. W. Burns,1958,Stamford,Conn.,Chicago,il,,,,,,,,,
2010,,Maureen Gallace,1960,Stamford,Connecticut;,New York,New York,,,,,,,,,
2008,,MK Guth,1963,stevens point,wisconsin,portland,oregon,,,,,,,,,
2006,,Hanna Liden,1976,stockholm,sweden,new york,new york,,,,"Swamp Walkers II, 2005. Chromogenic color print, 30 x 40 in. (76.2 x 101.6 cm). Collection of the artist; courtesy Rivington Arms, New York",,,,,
2008,,Fia Backstrom,1970,stockholm,sweden,new York,new York,,,,,,,,,
2008,,Mitzi Pederson,1976,stuart,florida,san francisco,california,,,,,,,,,
2006,,Florian Maier-Aichen,1973,stuttgart,germany,cologne,germany,los angeles,california,,"Untitled (Long Beach), 2004. Chromogenic color print, 711/2 x 921/2 in. (181.6 x 235 cm). Private collection; courtesy Blum & Poe, Los Angeles",,,,,
1993,,elizabeth lecompte,1944,summit,new jersey,new york,new york,,,,,,,,,
2006,,Kenya Evans,1974,sumter,south carolina,houston ,texas,,,,"Untitled (Overseer), 2003. Acrylic, latex, marker, and graphite on canvas, 30 x 38 in. (76.2 x 96.5 cm). Collection of the artist",,,,,
2006,,Todd Norsten,1967,sunburg,minnesota,minneapolis,minnesota,,,,"Untitled (Bucket of Blood), 2005. Gouache on paper, 15½ x 12½ in. (39.4 x 31.8 cm). Collection of the artist; courtesy Cohan and Leslie, New York",,,,,
1981,,grant mudford,1944,sydney,australia,los angeles,california,,,,,,,,,
2014,,Bjarne Melgaard,1967,Sydney,Australia,New York,NY,,,,,,,,,
1991,,peter mcGough,1958,syracuse,new york,New York,New York,,,,,,,,,
2014,,Zackary Drucker,1983,Syracuse,NY,Los Angeles,CA,,,,,,,,,
1993,,shu lea cheang,1954,taiwan,taiwan,new york,new york,,,,,,,,,
2008,,Gretchen Skogerson,1970,teaneck,new jersey,new york,new york,,,,,,,,,
1981,,siah armajani,1939,teheran,iran,minneapolis,minnisota,,,,,,,,,
2000,,Michal Rovner,1957,Tel Aviv,isarel,New York,New York,,,,,,,,,
1979,,bryan hunt,1947,terre haute,indiana,new york,new york,,,,,,,,,
1981,,bryan hunt,1947,terre haute,indiana,new york,new york,,,,,,,,,
1979,,james suris,1943,terrell,texas,splendora,texas,,,,,,,,,
2012,,Forrest Bess,1911,texas,texas,texas,texas,,,1977,,,,,,
2000,,Marcos Ramírez Erre,1961,Tijuana,Mexico,Tijuana,Mexico,San Diego,ca,,,,,,,
2000,,Salomon Huerta,1965,Tijuana,Mexico,Los Angeles,california,,,,,,,,,
1981,,taka limura,1937,tokyo,japan,new ork,new york,,,,,,,,,
2010,,Alex Hubbard,1975,Toledo,Oregon;,Brooklyn,New York,,,,,,,,,
2010,,Julia Fish,1950,Toledo,Oregon;,Chicago,Illinois,,,,,,,,,
1981,,william larson,1942,tonawanda,new york,wyncote,pennsylvania,,,,,,,,,
1993,,george holliday,1959,toronto,canada,los angeles,california,,,,,,,,,
2006,,Michael Snow,1929,toronto,canada,toronto,canada,,,,"Still from SSHTOORRTY, 2005. 35mm film and 16mm film transferred to video, color, sound; 20 min.",,,,,
2012,,Moyra Davey,1958,toronto,canada,new york,ny,,,,,,,,,
1973,,Neil Jenney,1945,torrington,connecticut,New York,New York,,,,,,,,,
1981,,neil jenney,1943,torrington,connecticut,new york,new york,,,,,,,,,
1993,,raymond pettibon,1957,tucson,arizona,hermosa beach,california,,,,,,,,,
2012,,Lucy Raven,1977,tucson,arizona,oakland,california,new york,new york,,,,,,,
1981,,larry clark,1943,tulsa,oklahoma,new york,new york,,,,,,,,,
2006,,Amy Blakemore,1958,tulsa,oklahoma,houston,texas,,,,,,,,,
2000,,Arthur Jafa,1960,Tupelo,Miss.,New York,new york,,,,,,,,,
2000,,Lutz Bacher,,united states,united states,Berkeley,california,,,,,,,,,
2006,,Jimmie Durham,1940,united states,united states,berlin,germany,,,,"Still from La Poursuite du bonheur/The Pursuit of Happiness, 2003. 35mm film, color, sound; 13 min.",,,,,
2012,,John Kelsey,,united states,united states,new york,new york,,,,,,,,,
2012,,Lutz Bacher,,united states,united states,berkeley,ca,,,,,,,,,
2008,,Javier Tellez,1969,valencia,vennezuela,new york,new york,,,,,,,,,
2006,,Rodney Graham,1949,vancouver,canada,vancouver,canada,,,,"Torqued Chandelier Release, 2005 (installation view, Donald Young Gallery, Chicago). 35mm film, color, silent; 5 min. Projected at 48 fps on a Kinoton PK-60E/PC high-speed electronic vertical formatted film projector with endless loop system. Projector dimensions: 68 x 64 x 30 in. (172.7 x 162.6 x 76.2 cm). The Art Institute of Chicago",,,,,
2014,,Ken Lum,1956,Vancouver,Canada,Philadelphia,PA,Vancouver,Canada,,,,,,,
2012,,Nicole Eisenman,1965,verdun,france,new york,ny,,,,,,,,,
2006,,Mathias Poledna,1965,vienna,austria,los angeles,california,,,,"Still from Version, 2004. 16mm film, black-and-white, silent; 10:10 min. Collection of the artist; courtesy Richard Telles Fine Art, Los Angeles; Galerie Meyer Kainer, Vienna; and Galerie Daniel Buchholz, Cologne",,,,,
1981,,robert wilson,1941,waco,texas,new york,new york,,,,,,,,,
2014,,Valerie Snobeck,1980,Wadena,MN;,New York,NY,,,,,,,,,
1991,,robert gober,1954,wallingford,connecticut,new york,new york,,,,,,,,,
1993,,robert gober,1954,wallingford,connecticut,new york,new york,,,,,,,,,
2000,,Robert Gober,1954,Wallingford,Conn.,New York,new york,,,,,,,,,
2006,,Robert Gober,1954,wallingford,connecticut,new york,new york,,,,"Detail from 1978–2000, 1978–2000. Gelatin silver print, 25½ x 33¾ in. (64.8 x 85.7 cm). Collection of the artist; courtesy Matthew Marks Gallery, New York",,,,,
2000,,Krzysztof Wodiczko,1943,Warsaw,poland,New York,New York,Cambridge,Mass.,,,,,,,
2010,,Ania Soliman,1970,Warsaw,Poland;,Basel,Switzerland,New York,New York,,,,,,,
2010,,Piotr Uklanski,1968,Warsaw,Poland;,New York,New York,and Warsaw,Poland,,,,,,,
1993,,Jimmie Durham,1940,washington,arkansas,cuernavaca,mexico,new york,new york,,,,,,,
2010,,Kate Gilmore,1975,Washington,DC;,New York,New York,,,,,,,,,
2014,,Jimmie Durham,1940,Washington,AR,Berlin,Germany,,,,,,,,,
2014,,Morgan Fisher,1942,Washington,DC,Santa Monica,CA,,,,,,,,,
2014,,Terry Adkins,1953,Washington,DC,Brooklyn,NY,,,2014,Aviarium,2014,"Steel, brass, aluminum, and silver",variable,,Estate of Terry Adkins; courtesy Salon 94
1973,,Gene Davis,1920,washington dc,washington dc,washington dc,Washington D.C.,,,,,,,,,
1979,,martin puryear,1941,washington dc,washington dc,chicago,illinois,washington dc,washington dc,,,,,,,
1981,,martin puryeur,1941,washington dc,washington dc,chicago,illinois,,,,,,,,,
1981,,russ warren,1951,washington dc,Washington dc,davidson,north carolina,,,,,,,,,
1983,,richard artschwager,1924,washington dc,washington dc,new york,new york,charlottesville,new york,,,,,,,
1991,,cady noland,1956,washington dc,washington dc,bronxville,new york,,,,,,,,,
1993,,donna golden,1967,washington dc,washington dc,new york,new york,,,,,,,,,
1993,,nan goldin,1953,washington dc,washington dc,new york,new york,,,,,,,,,
2006,,Yuri Masnyj,1976,washington DC,washington DC,new york,new york,,,,"Climbing the Hole, 2005. Graphite on paper, 35¾ x 48 in. (90.8 x 121.9 cm). Collection of the artist; courtesy Metro Pictures, New York",,,,,
2000,,Anne Makepeace,1947,Waterbury,Conn.,Santa Barbara,Calif.,,,,,,,,,
2014,,Sergei Tcherepnin,1981,Watertown,MA,New York,NY,,,,,,,,,
2006,,Ryan Trecartin,1981,webster,texas,new orleans,louisiana,,,,"Still from A Family Finds Entertainment, 2004. Video, color, sound; 41:12 min. Collection of the artist; courtesy Elizabeth Dee, New York, and Q.E.D., Los Angeles",,,,,
2012,,Richard Maxwell,1967,west fargo,north dakota,new york,new york,,,,,,,,,
1977,,terry allen,1943,whichita,kansas,fresno,california,,,,,,,,,
2014,,David Robbins,1957,Whitefish Bay,WI,Shorewood,WI,,,,,,,,,
1977,,alan sondheim,1943,wilkes-barre,pennsylvania,new york,new york,,,,,,,,,
1979,,alan sondheim,1943,wilkes-barre,pennsylvania,irvine,california,,,,,,,,,
1981,,davidson gigliotti,1939,winchester,massachusetts,new york,new york,,,,,,,,,
1981,,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,,,,,,,,
1983,,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,,,,,,,,
1993,,ernie gehr,1943,wisconsin,wisconsin,san francisco,california,,,,,,,,,
2010,,Dawn Clements,1958,Woburn,Massachusetts;,Brooklyn,New York,,,,,,,,,
2008,,Mungo Thomson,1969,woodland,california,los angeles,california,berlin,germany,,,,,,,
1979,,hollis frampton,1936,wooster,ohio,eaton,new york,,,,,,,,,
1981,,hollis frampton,1936,wooster,ohio,eaton,new york,,,,,,,,,
1977,,nancy holt,1938,worcester,massachusetts,new york,new york,,,,,,,,,
1977,,robert cumming,1943,worcester,massachusetts,orange,california,,,,,,,,,
1979,,nancy holt,1938,worcester,massachusetts,new york,new york,,,,,,,,,
1981,,nancy holt,1938,worcester,massachusetts,new york,new york,,,,,,,,,
1981,,robert comming,1943,worcester,massachusets,west suffield,connecticut,,,,,,,,,
2012,,Wu Tsang,1982,worcester,ma,los angeles,ca,,,,,,,,,
1973,,Kenzo Okada,1902,yokohama,japan,New York,New York,,,,,,,,,
2010,,Aki Sasamoto,1980,Yokohama,Japan;,Brooklyn,New York,,,,,,,,,
2008,,Stuart Bailey,1973,york,england,new york,new york,,,,,,,,,
1979,,ralph humphrey,1932,youngstown, ohio,new york,new york,,,,,,,,,
1981,,robert frank,1924,zurich,switzerland,nova scotia,canada,,,,,,,,,
2006,,Urs Fischer,1973,zurich,switzerland,zurich,switzerland,los angeles,california,,"Bread House, 2004 (installation view, Fondazione Nicola Trussardi, Milan, May 2005). Bread, wood, screws, expanding foam, and light, 144 x 209 1/8 x 185 7/8 in. (366 x 533 x 472 cm). Collection of Angela and Massimo Lauro; courtesy Galerie Eva Presenhuber, Zurich, and Gavin Brown’s enterprise, New York",,,,,
1973,,Alex Siburney,1942,,,New York,New York,,,,,,,,,
1973,,Alvin Loving,1935,,,New York,New York,,,,,,,,,
1973,,Andy Tavarelli,1942,,,Boston,Massachusetts,,,,,,,,,
1973,,Ann McCoy,1946,,,Venice,California,,,,,,,,,
1973,,Ann Truitt,1921,,,Washington,D.C.,,,,,,,,,
1973,,Arden Scott,1938,,,New York,New York,,,,,,,,,
1973,,Arlene Slavin,1942,,,New York,New York,,,,,,,,,
1973,,Arthur Cohen,1945,,,New York,New York,,,,,,,,,
1973,,Bob Stanley,1932,,,New York,New York,,,,,,,,,
1973,,Brenda Miller,1941,,,New York,New York,,,,,,,,,
1973,,Buffie Johnson,1912,,,New York,New York,,,,,,,,,
1973,,Carl Andre,1935,quincy,ma,New York,New York,,,,,,,,,
1973,,Carl Glikob,1941,,,New York,New York,,,,,,,,,
1973,,Catherine Murphy,1946,,,New York,New York,,,,,,,,,
1973,,Charles Fahlen,1939,,,Philadelphia,Pensylvania,,,,,,,,,
1973,,Charles Schucker,1914,,,Brooklyn,New York,,,,,,,,,
1973,,Chris Wilmarth,1943,,,New York,New York,,,,,,,,,
1973,,Christopher Sproat,1945,,,Jamaica Plain,Massachusetts,,,,,,,,,
1973,,Clement Meadmore,1929,melbourne,australia,New York,New York,,,,,,,,,
1973,,Cy Twombly,1929,lexington,virginia,New York,New York,,,,,,,,,
1973,,Cynthia Carlson,1942,,,Boulder,Colorado,,,,,,,,,
1973,,Dan Christensen,1942,,,New York,New York,,,,,,,,,
1973,,David McManaway,1927,,,Dallas,Texas,,,,,,,,,
1973,,David Novros,1941,,,New York,New York,,,,,,,,,
1973,,Dennis McCarthy,1935,,,New York,New York,,,,,,,,,
1973,,Ed Ruda,1922,,,New York,New York,,,,,,,,,
1973,,Ed Shostak,1941,,,New York,New York,,,,,,,,,
1973,,Ernest Frazier,1942,,,New York,New York,,,,,,,,,
1973,,Fletcher Benton,1931,,,San Francisco,California,,,,,,,,,
1973,,Forrest Myers,1941,,,New York,New York,,,,,,,,,
1973,,Frances Barth,1946,,,,,,,,,,,,,
1973,,Frances Kuehn,1943,,,Princeton,New Jersey,,,,,,,,,
1973,,Frank Bowling,1936,,,New York,New York,,,,,,,,,
1973,,Fred Eversley,1941,,,Venice,California,,,,,,,,,
1973,,Gary Hudson,1936,,,Del Mar,California,,,,,,,,,
1973,,Gary Stephan,1942,,,New York,New York,,,,,,,,,
1973,,Gary Tenenbaum,1943,,,New York,New York,,,,,,,,,
1973,,George Ortman,1926,,,500 Lone Pine Rd. Bloomfield Hills,Michigan,,,,,,,,,
1973,,George Trakas,1944,,,New York,New York,,,,,,,,,
1973,,Gilah Hirsch,1944,,,Los Angeles,California,,,,,,,,,
1973,,Gregory Gillespie,1936,,,Haydenville,Massachusetts,,,,,,,,,
1973,,Guy Dill,1946,,,Venice,California,,,,,,,,,
1973,,Hannah Wilke,1940,,,New York,New York,,,,,,,,,
1973,,Harriet Korman,1947,,,New York,New York,,,,,,,,,
1973,,Harvey Quaytman,1937,,,New York,New York,,,,,,,,,
1973,,Howard Buchwald,1943,,,New York,New York,,,,,,,,,
1973,,Ira Joel Haberb,1947,,,New York,New York,,,,,,,,,
1973,,Irving Petlin,1934,,,New York,New York,,,,,,,,,
1973,,Jack Sonenberg,1925,,,New York,New York,,,,,,,,,
1973,,Jaime Davidovitch,1936,,,Shaker Heights,Ohio,,,,,,,,,
1973,,Jake Berthot,1939,,,New York,New York,,,,,,,,,
1973,,James Boynton,1928,,,Houston,Texas,,,,,,,,,
1973,,James Reineking,1937,,,New York,New York,,,,,,,,,
1973,,Jane Kaufman,1938,,,New York,New York,,,,,,,,,
1973,,Jaqueline Gourevitch,1933,,,Middletown,Conn,,,,,,,,,
1973,,Jay Wholley,1942,,,New York,New York,,,,,,,,,
1973,,Jeffrey Way,1942,,,New York,New York,,,,,,,,,
1973,,Jim Dine,1935,,,New York,New York,,,,,,,,,
1973,,Jim Starrett,1937,,,New York,New York,,,,,,,,,
1973,,Joan Mitchell,,,,Vetheuil,France,,,,,,,,,
1973,,Joan Moment,1938,,,Sacramento,California,,,,,,,,,
1973,,Joanna Pousette-Dart,1947,,,New York,New York,,,,,,,,,
1973,,Joe Haske,1945,,,New York,New York,,,,,,,,,
1973,,Joel Bass,1942,,,Los Angeles,California,,,,,,,,,
1973,,Joel Janowitz,1945,,,Somerville,Massachusetts,,,,,,,,,
1973,,Joel Perlman,1943,,,New York,New York,,,,,,,,,
1973,,John Clem Clarke,1937,,,New York,New York,,,,,,,,,
1973,,John Duff,1943,,,New York,New York,,,,,,,,,
1973,,John Seery,1941,,,New York,New York,,,,,,,,,
1973,,Joseph Raffael,1933,,,San Geronimo,California,,,,,,,,,
1973,,Joyce Cole,1939,,,New York,New York,,,,,,,,,
1973,,Kay Kurt,1944,,,Duluth,Minnisota,,,,,,,,,
1973,,Ken Greenleat,1945,,,New York,New York,,,,,,,,,
1973,,Larry Poons,1937,,,New York,New York,,,,,,,,,
1973,,Larry Zox,1936,,,New York,New York,,,,,,,,,
1973,,Lester Johnson,1937,,,Detroit,Michigan,,,,,,,,,
1973,,Lester Van Winkle,1944,,,Richmond,Virginia,,,,,,,,,
1973,,Lila Katzen,1932,,,New York,New York,,,,,,,,,
1973,,Loretta Dunkelman,1937,,,New York,New York,,,,,,,,,
1973,,Louis Siegriest,1899,,,San Francisco,California,,,,,,,,,
1973,,Ludwig Sander,1906,,,New York,New York,,,,,,,,,
1973,,Luis Jiminez,1940,,,Roswell,new mexico,,,,,,,,,
1973,,Lyman Kipp,1929,,,North Salem,New York,,,,,,,,,
1973,,Lynton Wells,1940,,,New York,New York,,,,,,,,,
1973,,Malcolm Bailey,1947,,,New York,New York,,,,,,,,,
1973,,Mary Grigoriadis,1942,,,New York,New York,,,,,,,,,
1973,,Mary Miss,1944,,,New York,New York,,,,,,,,,
1973,,Michael D. Hall,1941,,,Bloomfield Hills,Michigan,,,,,,,,,
1973,,Michael Steiner,1945,,,New York,New York,,,,,,,,,
1973,,Mon Levinson,1926,,,New York,New York,,,,,,,,,
1973,,Nancy Grossman,1940,,,New York,New York,,,,,,,,,
1973,,Nancy Stevenson Graves,1940,,,New York,New York,,,,,,,,,
1973,,Nancy Van Deren,1944,,,New York,New York,,,,,,,,,
1973,,Natalie Bieser,1948,,,Venice,California,,,,,,,,,
1973,,Nate Shiner,1944,,,Sacramento,California (7),,,,,,,,,
1973,,Neil Welliver,1929,,,New York,New York,,,,,,,,,
1973,,Neil Williams,1934,,,New York,New York,,,,,,,,,
1973,,Nicholas Krushenick,1929,,,Stamford,Connecticut,,,,,,,,,
1973,,Nina Yankowitz,1946,,,New York,New York,,,,,,,,,
1973,,Paula Barr,1945,,,New York,New York,,,,,,,,,
1973,,Peter Bradley,1939,,,New York,New York,,,,,,,,,
1973,,Peter Gutkin,1944,,,San Francisco,California,,,,,,,,,
1973,,Peter Reginato,1945,,,New York,New York,,,,,,,,,
1973,,Philip Wofford,1935,,,New York,New York,,,,,,,,,
1973,,Randy Hardy,1944,,,New York,New York,,,,,,,,,
1973,,Ray Saunders,1934,,,Oakland,California,,,,,,,,,
1973,,Ree Morton,1936,,,New York,New York,,,,,,,,,
1973,,Richard Friedberg,1943,,,New York,New York,,,,,,,,,
1973,,Richard Landry,1938,,,New York,New York,,,,,,,,,
1973,,Richard McDermott Miller,1922,,,New York,New York,,,,,,,,,
1973,,Richard Mock,1944,,,New York,New York,,,,,,,,,
1973,,Richard Nonas,1936,,,New York,New York,,,,,,,,,
1973,,Robert Duran,1938,,,New York,New York,,,,,,,,,
1973,,Robert Gordy,1933,,,New Orleans,La,,,,,,,,,
1973,,Robert Grosvenor,1937,,,New York,New York,,,,,,,,,
1973,,Robert Hartman,1926,,,Berkeley,California,,,,,,,,,
1973,,Robert J. Lobe,1945,,,New York,New York,,,,,,,,,
1973,,Robert Morris,1931,,,New York,New York,,,,,,,,,
1973,,Robert Murray,1936,,,New York,New York,,,,,,,,,
1973,,Robert Povlich,1937,,,New York,New York,,,,,,,,,
1973,,Robert Rauschenberg,1925,,,New York,New York,,,,,,,,,
1973,,Robert Rohm,1934,,,Wakefield,R.I. (27,,,,,,,,,
1973,,Robert Smithson,1938,,,New York,New York,,,,,,,,,
1973,,Robert Wade,1943,,,Dallas,Texas,,,,,,,,,
1973,,Robert Zakanych,1935,,,New York,New York,,,,,,,,,
1973,,Roger Brown,1941,,,Chicago,Illinois,,,,,,,,,
1973,,Roy DeForest,1930,,,Port Casta,California,,,,,,,,,
1973,,S. A. Davis,1945,,,San Francisco,California,,,,,,,,,
1973,,Salle Werner,1939,,,Houston,Texas,,,,,,,,,
1973,,Sherron Francis,,,,New York,New York,,,,,,,,,
1973,,Sidney Goodman,1936,,,Elkins Park,Pennsylvania,,,,,,,,,
1973,,Stephen Greene,1918,,,Valley Cottage,New York,,,,,,,,,
1973,,Stuart Diamond,1942,,,New York,New York,,,,,,,,,
1973,,Susan Smith,1934,,,New York,New York,,,,,,,,,
1973,,Susan Tunick,1946,,,New York,New York,,,,,,,,,
1973,,Sylvia Stone,1928,,,New York,New York,,,,,,,,,
1973,,Terry Allen,1943,,,Fresno,California,,,,,,,,,
1973,,Thomas Bang,1938,,,Rochester,New York,,,,,,,,,
1973,,Tom Wesselmann,1931,,,New York,New York,,,,,,,,,
1973,,Tony Berlant,1941,,,Santa Monica,California,,,,,,,,,
1973,,Tony Robbin,1943,,,New York,New York,,,,,,,,,
1973,,Will Horwitt,1934,,,New York,New York,,,,,,,,,
1973,,William Allan,1936,,,Mill Valley,California,,,,,,,,,
1973,,William Bollinger,1939,,,Poughkeepsie,New York,,,,,,,,,
1973,,William Geis,1940,,,Woodacre,California,,,,,,,,,
1973,,William Omwake,1946,,,Philadelphia,Pennsylvania,,,,,,,,,
1973,,William Pettet,1927,,,New York,New York,,,,,,,,,
1973,,William Schwedler,1942,,,New York,New York,,,,,,,,,
1973,,William Wegman,1943,,,Santa Monica,California,,,,,,,,,
1979,,kit fitzgerald,1953,,massachusetts,new york,new york,,,,,,,,,
1979,,warren sonbert,1947,,,san francisco,california,,,,,,,,,
1981,,kenneth anger,1930,,,new york,new york,,,,,,,,,
2006,,Reena Spaulings,,,,,,,,,,,,,,
2006,,Studio Film Club,,,,,,,,,,,,,,
2006,,Tony Oursler        Rodney Graham        Dan Graham,,,,,,,,,,,,,,
2014,,Shio Kusaka,1972,,Japan,Los Angeles,CA,,,,,,,,,
1975,,martha alf,1930,berkeley,california,Los Angeles,california,,,,,,,,,
1975,,david anderson,1946,los angeles,california,berkeley,california,,,,,,,,,
1975,,james R. Anderson,1935,gary,indiana,new york,new york,,,,,,,,,
1975,,dennis ashbaugh,1946,red oak,iowa,new york,new york,,,,,,,,,
1975,,domingo barreres,1941,valencia,spain,jamaica plains,massachusetts,,,,,,,,,
1975,,w.b. bearman,1950,benicia,california,new york,new york,,,,,,,,,
1975,,tony bechara,1942,san juan,puerto rico,new york,new york,,,,,,,,,
1975,,gene beery,1937,racine,wisconsin,petaluma,california,,,,,,,,,
1975,,allen edward bertoldi,1941,fresno,california,fresno,california,,,,,,,,,
1975,,gary beydler,1944,los angeles,california,Los Angeles,california,,,,,,,,,
1975,,ross bleckner,1949,new york,new york,new york,new york,,,,,,,,,
1975,,cheryle bowers,1938,berkeley,california,berkeley,california,,,,,,,,,
1975,,robin bruch,1948,cleveland,ohio,new york,new york,,,,,,,,,
1975,,scott burton,1939,greensboro,alabama,new york,new york,,,,,,,,,
1975,,barry buxkamper,1946,peoria,illinois,nashville,tennessee,,,,,,,,,
1975,,sam cady,1943,boothbay harbor,maine,new york,new york,,,,,,,,,
1975,,cristiano camacho,1946,fall river,massachusetts,san francisco,california,,,,,,,,,
1975,,larry ray camp,1939,evansville,indiana,columbus,ohio,,,,,,,,,
1975,,sarah anne canright,1941,chicago,illinois,new york,new york,,,,,,,,,
1975,,mel casas,1929,el paso,texas,san antonio,texas,,,,,,,,,
1975,,thomas chimes,1921,philadelphia,pennsylvania,merion,pennsylvania,,,,,,,,,
1975,,joseph clower,1937,norfolk,virginia,boulder,colorado,,,,,,,,,
1975,,maxine cole,1937,hodgeman city,kansas,arcadia,california,,,,,,,,,
1975,,christopher darton,1945,new york,new york,new york,new york,,,,,,,,,
1975,,phil douglas davis,1947,los angeles,california,venice,california,,,,,,,,,
1975,,john dickson,1949,philadelphia,pennsylvania,washington dc,washington dc,,,,,,,,,
1975,,joe di giorgio,1931,new york,new york,new york,new york,,,,,,,,,
1975,,paul dillon,1943,newport,vermont,los Angeles,california,,,,,,,,,
1975,,"john E. Dowell, Jr.",1941,philadelphia,pennsylvania,philadelphia,pennsylvania,,,,,,,,,
1975,,carol eckman,1950,chicago,illinois,san francisco,california,,,,,,,,,
1975,,william fares,1942,compton,california,new york,new york,,,,,,,,,
1975,,frank faulkner,1946,sumber,south carolina,new york,new york,,,,,,,,,
1975,,kathleen ferguson,1945,chicago,illinois,new york,new york,,,,,,,,,
1975,,carole fisher,1941,minneapolis,minnesota,minneapolis,minnesota,,,,,,,,,
1975,,kent floeter,1937,saginaw,michigan,new york,new york,,,,,,,,,
1975,,john ford,1950,washington dc,washington dc,sacramento,california,,,,,,,,,
1975,,charles f. gaines,1944,charleston,south carolina,new york,new york,,,,,,,,,
1975,,charles garabedian,1923,detroit,michigan,santa monica,california,,,,,,,,,
1975,,richard george,1935,chicago,illinois,hamilton,ohio,,,,,,,,,
1975,,abigail gerd,1945,new york,new york,new york,new york,,,,,,,,,
1975,,roland ginzel,1921,lincoln,illinois,chicago,illinois,,,,,,,,,
1975,,ron gorchov,1930,chicago,illinois,new york,new york,,,,,,,,,
1975,,john s. gordon,1946,milwaukee,wisconsin,venice,california,,,,,,,,,
1975,,george green,1942,paris,texas,dallas,texas,,,,,,,,,
1975,,tom green,1942,newark,new jersey,washington dc,washington dc,,,,,,,,,
1975,,dominick guida,1946,corona,new york,altadena,california,,,,,,,,,
1975,,fred N. Guyot,1940,los angeles,california,new york,new york,,,,,,,,,
1975,,don hazlitt,1948,stockton,california,new york,new york,,,,,,,,,
1975,,leonard l. hunter III,1940,washington dc,washington dc,lexington,kentucky,,,,,,,,,
1975,,miyoko ito,1918,berkeley,california,chicago,illinois,,,,,,,,,
1975,,jack jefferson,1921,lead,south dakota,san francisco,california,,,,,,,,,
1975,,pamela jenrette,1947,fort bragg,north carolina,new york,new york,,,,,,,,,
1975,,virginia johnson,1945,andover,massachusetts,boulder,colorado,,,,,,,,,
1975,,david jones,1948,columbus,ohio,san francisco,california,,,,,,,,,
1975,,jerry jones,1947,pineville,kentucky,new york,new york,,,,,,,,,
1975,,elizabeth ann knox,1946,miami,florida,new york,new york,,,,,,,,,
1975,,robert kushner,1949,pasadena,california,new york,new york,,,,,,,,,
1975,,salvatore j. la rosa,1941,pittsburgh,pennsylvania,miami,florida,,,,,,,,,
1975,,patricia lay,1941,milford,connecticut,new york,new york,,,,,,,,,
1975,,marilyn lenkowsky,1947,new york,new york,new york,new york,,,,,,,,,
1975,,alvin light,1931,concord,new hampshire,san francisco,california,,,,,,,,,
1975,,carol lindsley,1938,berkeley,california,kensington,california,,,,,,,,,
1975,,kim robert macConnel,1946,oklahoma city,oklahoma,cardiff,california,,,,,,,,,
