year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
2014,,Keith Mayerson,1966,Cincinnati,OH,New York,NY,,,,,,,,,
2014,,Tony Tasset,1960,Cincinnati,OH,Chicago,IL,,,,,,,,,
1977,,howard fried,1946,cleveland,ohio,san francisco,california,,,,,,,,,
1979,,howard fried,1946,cleveland,ohio,san francisco,california,,,,,,,,,
1981,,howard fried,1946,cleveland,ohio,san francisco,california,,,,,,,,,
1983,,howard fried,1946,cleveland,ohio,san francisco,california,,,,,,,,,
1991,,allen ruppersberg,1944,cleveland,ohio,new york,new york,,,,,,,,,
1991,,bill fontana,1947,cleveland,ohio,emeryville,california,,,,,,,,,
1991,,john miller,1954,cleveland,ohio,new york,new york,,,,,,,,,
1993,,mac wellman,1945,cleveland,ohio,new york,new york,,,,,,,,,
1993,,nancy spero,1926,cleveland,ohio,new york,new york,,,,,,,,,
1993,,renee green,1959,cleveland,ohio,brooklyn,new york,,,,,,,,,
1993,,randolph huff,1961,cocoa beach,florida,new york,new york,,,,,,,,,
1973,,Jimmy Ernst,1920,cologne,germany,New Canaan,Connecticut,,,,,,,,,
2000,,Hans Haacke,1936,Cologne,Germany,New York,New York,,,,,,,,,
2006,,Jutta Koether,1958,cologne,germany,new york,new york,,,,"Very Lost Highway, 2005 (installation view, Galerie Daniel Buchholz, Cologne). Installation with drawings, paintings, and miscellaneous media, dimensions variable. Collection of the artist; courtesy Galerie Daniel Buchholz, Cologne",,,,,
2012,,Jutta Koether,1958,cologne,germany,new york, ny,berlin,germany,,,,,,,
2012,,Kai Althoff,1966,cologne,germany,cologne,germany,,,,,,,,,
2006,,Jennifer Reeves,1971,colombo,sri lanka,new york,new york,,,,"Still from The Time We Killed, 2004. 16mm film, black-and-white, sound; 94 min.",,,,,
2008,,Rodney McMillian,1969,columbia,south carolina,los angeles,california,,,,,,,,,
2014,,Jacolby Satterwhite,1986,Columbia,SC,New York,NY,,,,,,,,,
2000,,Jennifer Reeder,1971,Columbus,Ohio,Chicago,ill,,,,,,,,,
2006,,Kelley Walker,1969,columbus,georgia,new york,new york,,,,"Black Star Press (rotated 90 degrees); Black Press, Black Star, 2005. Milk chocolate and dark chocolate on digital print on canvas, 84 x 208 in. (213.4 x 528.4 cm). Carlos and Rosa de la Cruz Collection; courtesy Paula Cooper Gallery, New York",,,,,
2014,,Matt Hanner,1971,Columbus,OH;,Porter,IN,,,2011,"The Bower,",2011-2013,16mm film color,1:30:00,,Collection of the artist. Courtesy the artist.
2006,,Tony Conrad,1940,concord,new hampshire,buffalo,new york,,,,,,,,,
2010,,George Condo,1957,Concord,New Hampshire;,New York,New York,,,,,,,,,
2014,,Donelle Woolford,1977,Conyers,GA,New York,NY,,,,,,,,,
1981,,john sanborn,1954,copiague,new york,new york,new york,,,,,,,,,
2000,,Kay Rosen,1949,Corpus Christi,Tex.,Gary,Ind.,,,,,,,,,
2008,,Agathe Snow,1976,corsica,france,new york,new york,,,,,,,,,
2000,,Les LeVeque,1952,Cortex,Calif.,New York,New York,,,,,,,,,
1981,,william bailey,1930,council bluffs,iowa,new haven,connecticut,,,,,,,,,
1983,,nic nicosia,1951,dallas,texas,dallas,texas,,,,,,,,,
2000,,Nic Nicosia,1951,Dallas,texas,Dallas,texas,,,,,,,,,
2014,,Joshua Mosley,1974,Dallas,TX,Philadelphia,PA,,,,,,,,,
2014,,Emily Sundblad,1977,Dalsjöfors,Sweden,New York,NY,,,,,,,,,
1993,,anne lobst,1959,danville,pennsylvania,new york,new york,,,,,,,,,
1983,,bruce charlesworth,1950,davenport,iowa,minneapolis,minnisota,,,,,,,,,
1981,,charlse arnoldi,1946,dayton,ohio,venice,california,,,,,,,,,
2010,,Curtis Mann,1979,Dayton,Ohio;,Chicago,Illinois,,,,,,,,,
1979,,martha haslanger,1947,dearborn,michigan,new york,new york,,,,,,,,,
1981,,martha haslanger,1947,dearborn,michigan,new york,new york,,,,,,,,,
1983,,martha haslanger,1947,dearborn,michigan,new york,new york,,,,,,,,,
1991,,mike kelley,1954,dearborn,michigan,los angeles,california,,,,,,,,,
1993,,mike kelley,1954,dearborn,michigan,los angeles,california,,,,,,,,,
2006,,Lucas deGiulio,1977,dearborn,michigan,san francisco,california,,,,"Can Barnacles, 2005. Aluminum can, barnacles, 4½ x 3 in. (11.4 x 7.6 cm). Collection of the artist",,,,,
2012,,Mike Kelley,1954,dearborn,michicgan,los Angeles,ca,,,2012,,,,,,
1979,,paul sharits,1943,denver,colorado,buffalo,new york,,,,,,,,,
1981,,paul sharits,1943,denver,colorado,buffalo,new york,,,,,,,,,
2014,,Gary Indiana,1950,Derry,NH,New York,NY,and Los Angeles,CA,,,,,,,
2000,,Dennis Adams,1948,Des Moines,iowa,New York and,Cambridge,Mass.,,,,,,,,
1973,,Jackie Ferrara ,,detroit,michigan,New York,New York,,,,,,,,,
1979,,brenda goodman,1943,detroit,michigan,new york,new york,,,,,,,,,
1979,,jackie ferrara,,detroit,michigan,new york,new york,,,,,,,,,
1979,,robert breer,1926,detroit,michigan,palisades,new york,,,,,,,,,
1981,,harry callahan,1912,detroit,michigan,providence,rhode island,,,,,,,,,
1981,,robert breer,1926,detroit,michigan,south nyack,new york,,,,,,,,,
1983,,robert breer,1926,detroit,michigan,south nyack,new york,,,,,,,,,
1991,,ellen phelan,1943,detroit,michigan,new york,new york,westport,new york,,,,,,,
2012,,Michael E. Smith,1977,detroit,michigan,detroit,michigan,,,,,,,,,
2014,,Amy Sillman,1955,Detroit,MI,Brooklyn,NY,,,,,,,,,
2000,,Theresa Duncan,1968,Detroit and,michigan,new york,new york,,,,,,,,,
1979,,billy al bengston,1934,dodge city,kansas,venice,california,,,,,,,,,
1983,,vivienne dick,1950,donegal,ireland,new york,new york,,,,,,,,,
2000,,Lew Baldwin,1969,East Brunswick,N.J.,San Francisco,california,,,,,,,,,
2008,,Seth Price,1973,east jerusalem,israel,new york,new york,,,,,,,,,
2010,,James Casebere,1953,East Lansing,Michigan;,Brooklyn,New York,,,,,,,,,
2014,,Joseph Grigely,1956,East Longmeadow,MA,Chicago,IL,,,,,,,,,
2010,,Erika Vogt,1973,East Newark,New Jersey;,Los Angeles,California,,,,,,,,,
2014,,Sarah Charlesworth,1947,East Orange,NJ,Hartford,CT,,,2013,,,,,,
2010,,Emily Roysdon,1977,Easton,Maryland;,New York,New York,Stockholm,Sweden,,,,,,,
2010,,Kelly Nipper,1971,Edina,Minnesota;,Los Angeles,California,,,,,,,,,
2006,,Peter Doig,1959,edinburgh,scotland,san francisco,california,,,,"Cover of Reena Spaulings, published by Semiotext(e), 2005",,,,,
2006,,Christina Battle,1975,edmonton,canada,toronto,canada,,,,,,,,,
2006,,Louise Bourque,1963,edmundston New Brunswick,canada,malden,ma,,,,,,,,,
2014,,Steve Reinke,1963,Eganville Ontario,Canada,Chicago,IL,,,,,,,,,
2010,,Edgar Cleijne,1963,Eindovern,The Netherlands/,,,,,,,,,,,
1991,,celia alvarez munoz,1937,el paso,texas,arlington,texas,,,,,,,,,
1991,,luis jimenez,1940,el paso,texas,hondo,new mexico,,,,,,,,,
1993,,willie varela,1950,el paso,texas,el paso,texas,,,,,,,,,
1981,,robert zakanitch,1935,elizabeth,new jersey,new york,new york,,,,,,,,,
1991,,philip taaffe,1955,elizabeth,new jersey,naples,italy,,,,,,,,,
1991,,thomas lanigan schmidt,1948,elizabeth,new jersey,new york,new york,,,,,,,,,
2012,,Andrew Masullo,1957,elizabeth,new jersey,san francisco,ca,,,,,,,,,
2010,,Josh Brand,1980,Elkhorn,Wisconsin;,Brooklyn,New York,,,,,,,,,
2006,,Anthony Burdin,,encino,california,,california,,,,,,,,,
2008,,Shannon Ebner,1971,englewood,new jersey,los Angeles,california,,,,,,,,,
1993,,allan sekula,1951,erie,pennsylvania,los angeles,california,,,,,,,,,
2014,,Allan Sekula,1951,Erie,PA,Los Angeles,CA,,,2013,,,,,,
1993,,miguel gandert,1956,espanola,new mexico,albuquerque,new mexico,,,,,,,,,
2008,,Alice Konitz,1970,essen ,germany,los angeles,california,,,,,,,,,
2014,,Laura Owens,1970,Euclid,OH,Los Angeles,CA,,,,,,,,,
1981,,michael brewster,1946,eugene,oregon,venice,california,,,,,,,,,
2006,,Matthew Monahan,1972,eureka,california,los angeles,california,,,,"Installation view at Anton Kern Gallery, New York, 2005",,,,,
2014,,Sara Greenberger Rafferty,1978,Evanston,IL,Brooklyn,NY,,,,,,,,,
1973,,Donald Judd,1928,excelsior springs,missouri,New York,New York,,,,,,,,,
2012,,Dawn Kasper,1977,fairfax,virginia,los Angeles,ca,,,,,,,,,
1981,,edward kienholz,1927,fairfield,washington,hope, idaho,berlin,germany,,,,,,,
